序號,統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准解散日期
1,01987259,協仕鋼模有限公司,新北市蘆洲區得仁里和平路19巷2-1號3樓,null,5000000,0741209,1020503
2,02088868,怡展有限公司,新北市蘆洲區和平路九七巷一三號,null,5000000,0741122,1020507
3,02358089,宇照企業有限公司,新北市永和區中正路368巷1弄73號,null,1000000,0741206,1020528
4,03445203,都靈企業有限公司,臺北市中正區忠孝西路1段50號14樓之6,null,5000000,0480704,1020513
5,04300325,聯春汽車有限公司,臺北市大同區迪化街2段426號1樓,null,1200000,0630409,1020530
6,04386272,千仁股份有限公司,臺北市松山區復興北路57號10樓之1,null,8000000,0600828,1020506
7,04452130,偉德文具印刷有限公司,臺北市大同區酒泉街125號1樓,null,2000000,0630830,1020521
8,04946845,瓷林企業有限公司,新北市三重區溪尾街三六○號,null,8000000,0630809,1020523
9,05016017,及新企業有限公司,臺北市萬華區廣州街10之1號,null,1000000,0690328,1020522
10,05081712,百利出版圖書有限公司,臺北市中正區南陽街14號1樓,null,1200000,0691118,1020529
11,05191210,瑞燕實業有限公司,臺北市中正區杭州南路1段115號8樓之5,null,5000000,0720315,1020508
12,07649158,麒泰企業股份有限公司,臺北市中山區天祥路16巷15號之5,null,5000000,0690220,1020502
13,07896474,斐元木業有限公司,高雄市旗山區延平一路六三四號一樓,null,18000000,0741115,1020515
14,09450478,大風堂廣告事業有限公司,臺北市大安區安和路1段53號3樓,null,1000000,0730721,1020520
15,12126813,伸原木業有限公司,桃園縣龜山鄉文七二街７５號１樓,null,6000000,0650604,1020507
16,12334122,菱立木業有限公司,臺北市中山區松江路100巷22號2樓,null,9000000,0700615,1020502
17,12455477,利冠企業有限公司,苗栗縣頭屋鄉獅潭村4鄰獅潭41號,null,5000000,0720811,1020514
18,12481637,益台國際股份有限公司,臺北市中山區松江路67號11樓之2,null,30000000,0720726,1020516
19,12605638,尚文模具有限公司,臺中市豐原區西湳里三豐路863號,null,5500000,0890825,1020517
20,12634628,朔乙企業有限公司,桃園縣龜山鄉大華村文東五街93號,null,1500000,0891016,1020531
21,12664376,智琦實業有限公司,臺北市萬華區萬大路427號,null,2000000,0891115,1020508
22,12664811,歐洲之星建材有限公司,臺北市北投區西安街2段255號1樓,null,5500000,0891115,1020531
23,12669111,軟體時代股份有限公司,臺北市中正區博愛路25號5樓之13,null,2500000,0891130,1020520
24,12676324,力元生物科技有限公司,臺北市松山區八德路3段172號1樓,null,3500000,0891227,1020516
25,12680777,卓奇科技有限公司,臺北市大安區忠孝東路4段148號12樓之8,null,10000000,0900115,1020524
26,12697382,偉利達貿易有限公司,臺北市大安區和平東路1段147號8樓,null,500000,0900327,1020513
27,12703672,瑞霖製版有限公司,桃園縣龜山鄉楓樹村公華坑25-2號,null,1000000,0891115,1020503
28,12709747,鬥緣股份有限公司,臺中市豐原區復興路2號8樓及地下1樓,null,10500000,0891127,1020502
29,12752899,力食代股份有限公司,臺中市梧棲區草湳里港埠路一段1083號,null,1400000,0900222,1020503
30,12754171,耐富美機械工業有限公司,新北市汐止區新台5路1段149號3樓,null,5000000,0900223,1020517
31,12765780,佳幟有限公司,新北市中和區連城路469巷7弄5號2樓　,null,1000000,0900315,1020524
32,12793239,鉦麒工程有限公司,新竹縣新豐鄉忠信街一五七巷一弄廿一號,null,6000000,0900430,1020513
33,12808129,日祥企業有限公司,新北市土城區延里延街35巷3號　,null,5000000,0900523,1020516
34,12811790,音速開發有限公司,臺南市北區成功路14號,null,3000000,0900529,1020507
35,12817788,瀛鴻企業股份有限公司,null,null,0,0900608,1020523
36,12835293,益湧實業有限公司,桃園縣平鎮市廣德街八九巷十八號一樓,null,2000000,0900711,1020529
37,12852095,台揚工商管理顧問有限公司,臺北市萬華區莒光路221號,null,600000,0900409,1020510
38,12867864,家穎有限公司,新北市汐止區厚德里6鄰樟樹一路168號7樓,null,500000,0900529,1020530
39,12901650,璟昇加油站實業有限公司,新北市中和區中和路256號11樓,null,10000000,0900920,1020520
40,12902237,承意科技股份有限公司,新竹市光復路2段287號16樓,null,50000000,0900921,1020508
41,12904158,膳得美生化科技有限公司,臺中市北區進化路575號7樓之3,null,1000000,0900926,1020521
42,12906775,華觀琉璃有限公司,新北市淡水區中山北路一段一四九巷二之一號,null,5000000,0901003,1020531
43,12919379,利日生科技股份有限公司,桃園縣大溪鎮一德里8鄰中華路484號,null,5000000,0901029,1020507
44,12926054,融陞股份有限公司,桃園縣桃園市南平路108巷11號,null,10000000,0901112,1020507
45,12937242,伊恩國際有限公司,新北市永和區秀朗路二段一四八巷三弄一四號二樓,null,12000000,0900809,1020529
46,12939229,笠惠有限公司,新北市汐止區國興街22巷14號,null,5000000,0900816,1020527
47,12947895,京碁科技有限公司,臺北市中正區館前路6號10樓,null,6000000,0901105,1020507
48,12950820,基因梭生技醫藥股份有限公司,臺北市大安區光復南路568號11樓,null,7530000,0901005,1020522
49,12953586,富瑞鐘錶股份有限公司,臺北市中山區北安路575之2號1樓,null,6000000,0901017,1020507
50,12955509,鉑鈦有限公司,臺北市中山區中山北路1段33巷20弄3號2樓,null,1000000,0901025,1020508
51,12966668,泰佳襪業有限公司,臺北市松山區南京東路5段66巷22弄28號2樓,null,3000000,0901210,1020507
52,12974914,威達機械有限公司,新北市三峽區中正路1段174巷4弄27號1樓,null,5000000,0910107,1020524
53,12991884,明杰文化事業有限公司,臺北市松山區復興南路1段45號9樓,null,500000,0901213,1020513
54,12996706,德利環保企業股份有限公司,屏東縣屏東市長春里民生路12巷14號1樓,null,5000000,0901220,1020528
55,13111227,東旺奈米工業股份有限公司,臺南市善化區環東路2段29號,(解任),100000000,0921231,1020522
56,13125572,金茂生活館股份有限公司,臺北市松山區敦化南路1段90、92、94號1樓,null,30000000,0910606,1020501
57,13145492,百擎工程有限公司,高雄市三民區天津街272號1樓,null,1000000,0900404,1020507
58,13146886,濟揚有限公司,高雄市前鎮區草衙里佛佑路5號5樓,null,500000,0900425,1020517
59,13158691,銘濠企業有限公司,高雄市前鎮區獅興街26號1樓,null,7500000,0901102,1020529
60,13161160,興照企業有限公司,高雄市三民區克武路4巷12弄6號1樓,null,3000000,0901213,1020528
61,13164595,根合生化科技企業有限公司,高雄市小港區宮平街9號,null,500000,0910125,1020527
62,13170999,佶諦有限公司,高雄市三民區鼎泰里鼎和街45巷9號12樓,null,500000,0910415,1020520
63,13192190,格林奈有限公司,高雄市三民區民族1路702之22號10樓,null,500000,0911202,1020509
64,13195154,三澤企業有限公司,高雄市小港區華立街2號8樓,null,5000000,0920106,1020513
65,15128434,全昱創意企業有限公司,臺北市大安區忠孝東路3段251巷7弄2號1樓,null,5000000,0611114,1020501
66,15511634,寶洋企業有限公司,臺南市永康區鹽行里中正路六三五巷一弄二○號,null,500000,0600121,1020521
67,15893056,東奇照相打字有限公司,臺北市士林區社子街92號1樓,null,5000000,0700610,1020515
68,15948355,上耀有限公司,臺北市萬華區西園路2段140巷79號2樓,null,5000000,0720323,1020530
69,16020609,富唐建設股份有限公司,苗栗縣苗栗市玉清里玉清路三八號,null,15000000,0860530,1020520
70,16051601,上正投資有限公司,臺南市善化區東關里中正路649巷10號1樓,null,22000000,0860630,1020522
71,16058793,寶寰生物科技有限公司,新竹縣湖口鄉新湖路卅五號,null,1000000,0860707,1020502
72,16076194,進易股份有限公司,臺中市東區十甲里十甲路281巷31號1樓,null,6000000,0860725,1020506
73,16081892,中經合國際創業投資股份有限公司,臺北市大安區敦化南路2段76號10樓之2,null,5920000,0860510,1020530
74,16122134,瑞統有限公司,高雄市三民區堯山街38號,null,5000000,0861212,1020523
75,16144833,達興出版有限公司,臺北市內湖區民權東路6段136巷37弄2號1樓,null,1000000,0860809,1020531
76,16160853,至壯實業有限公司,新北市板橋區縣民大道三段33巷1弄26號3樓,null,2000000,0860926,1020530
