"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期","核准解散日期"
"1","01993153","大量齒輪企業股份有限公司","新北市新莊區復興路三段九五號","","15000000","0741018","1040306"
"2","04258950","泰順化工儀器有限公司","臺北市萬華區康定路24號7樓之3","","5000000","0650112","1040325"
"3","04359964","德成參藥行有限公司","臺北市大同區民生西路392號","","5000000","0660502","1040319"
"4","04441991","永得和水電工程有限公司","臺北市大同區萬全街37之1號1樓","","2000000","0611122","1040303"
"5","04470411","弘業商業有限公司","臺北市大同區南京西路103號地下1層","","3000000","0651214","1040306"
"6","04648206","慧禾企業有限公司","臺北市信義區信義路4段458號11樓","","12000000","0651221","1040318"
"7","05000394","昆誼實業股份有限公司","臺北市中正區臨沂街13巷11號3樓","","5000000","0680223","1040327"
"8","05017542","皇品家具有限公司","臺北市中正區南昌路2段59號1樓","","2000000","0690501","1040324"
"9","05420017","大大紙器有限公司","新北市汐止區福德三路一三一號","","5000000","0730820","1040310"
"10","05836063","佳電精密工業有限公司","臺中市太平區太平里永平路三段一三二巷一○六號","","5000000","0740829","1040312"
"11","07061403","中州貿易有限公司","臺北市大同區承德路3段208巷67號","陳惠卿","5180000","0480810","1040307"
"12","07614242","裕行實業有限公司","臺北市大安區敦化南路2段104號5樓","","5100000","0641231","1040316"
"13","07623214","重發紙器有限公司","新北市板橋區和平路安樂巷三○號一樓","","3000000","0670717","1040302"
"14","07687048","金風汽車有限公司","臺北市大安區通安街50巷6號1樓","","3000000","0710515","1040303"
"15","09425936","鐘主企業有限公司","臺北市文山區下崙路12號","","10000000","0721020","1040330"
"16","09481731","普翔工程有限公司","桃園市平鎮區中興路平鎮段355巷1弄27號","","6000000","0740701","1040317"
"17","11331702","東方聯合股份有限公司","臺北市中山區復興北路150號14樓之6","","5000000","0540903","1040302"
"18","11651866","越興企業股份有限公司","臺北市中山區松江路431巷24號1樓","","5000000","0600520","1040326"
"19","12130598","吉銘貿易股份有限公司","臺北市中山區中山北路2段52號9樓之5","","5000000","0660714","1040302"
"20","12261839","鑫富汽車材料有限公司","新北市新莊區中榮街四一號","","500000","0690108","1040331"
"21","12528160","邦圓實業有限公司","臺北市南港區忠孝東路6段403巷1弄3號1樓","","5000000","0731116","1040325"
