序號,統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准解散日期
1,13077608,高鶴實業有限公司,彰化縣員林鎮萬年里員水路二段四二一巷八一號　,,2000000,910426,1020306
2,13077749,介面房屋仲介有限公司,宜蘭縣羅東鎮北成里四維路155巷3號1樓,,500000,910426,1020305
3,13084571,中悅實業有限公司,新北市汐止區汐萬路2段122巷27號1樓,,21880000,921104,1020319
4,13140975,博智藥品有限公司,臺北市大安區和平東路1段197號8樓之2,,2500000,910722,1020301
5,13144418,波羅的海商貿開發有限公司,高雄市新興區青年一路206號,,1000000,900320,1020322
6,13150683,晉嶸企業有限公司,高雄市前鎮區興東里民權二路378之1號9樓之8,,500000,900621,1020304
7,13152916,朗盛科技實業有限公司,高雄市三民區皓東路9巷28號5樓,,500000,900726,1020308
8,13153318,有田國際有限公司,高雄市苓雅區福建街220號1樓,,500000,900801,1020304
9,13155408,佐嶧實業有限公司,高雄市前鎮區民興街11號1樓,,2000000,900907,1020306
10,13155821,威利特國際貿易有限公司,臺中市北屯區松安里柳陽西街135號4樓之1,,1000000,900913,1020319
11,13160211,翰勝有限公司,高雄市小港區青山街123巷52號6樓,,1000000,901128,1020227
12,13177493,中華美食有限公司,高雄市小港區飛機路542之1號,,1000000,910620,1020318
13,13177830,茂盛針車實業有限公司,高雄市鼓山區翠華路141號,,500000,910625,1020226
14,13184115,杰成投資股份有限公司,高雄市左營區裕誠路394號9樓,,10000000,910903,1020312
15,13185711,宜真企業有限公司,高雄市苓雅區三多三路224號8樓,,500000,910923,1020305
16,14010520,台灣標準電腦股份有限公司,臺北市中正區忠孝東路2段100號8樓,,19000000,640227,1020314
17,14053457,聖倫利諾企業有限公司,臺北市松山區興安街155號7樓,,5000000,650112,1020311
18,14063151,意明裝潢材料有限公司,臺北市大安區溫州街22巷16號1樓,,3000000,501010,1020326
19,14074925,安舜交通股份有限公司,臺北市士林區通河西街2段210號1樓,,3500000,650514,1020328
20,15966091,泓誌五金股份有限公司,新北市土城區中央路4段35之1號1樓,,50000000,790620,1020306
21,16001286,銘顥企業有限公司,桃園縣楊梅市秀才路一七五巷一九弄五七號,,5000000,860513,1020227
22,16015818,儀力企業有限公司,新北市中和區中山路2段526巷25弄4之1號,,4800000,861105,1020322
23,16019172,晨藝有限公司,桃園縣桃園市汴洲里大有路九四六巷五弄二號,,1000000,860529,1020312
