"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期","核准解散日期"
"1","01186264","創作企業有限公司","臺北市中山區五常街39號1樓","","5000000","0741019","1031211"
"2","04238033","敏業企業有限公司","臺北市大安區光復南路446號9樓之2","","10000000","0640104","1031218"
"3","04260169","華夏投資股份有限公司","臺北市中山區南京東路1段132巷4號","","1000000","0641202","1031204"
"4","04348159","隆大布行有限公司","臺北市大同區南京西路321之1號1樓","","4000000","0650901","1031231"
"5","04351169","盛展實業有限公司","臺北市大安區敦化南路1段205號11樓之8","","5000000","0651014","1031210"
"6","04418197","力鼎興業有限公司","臺北市大安區新生南路3段20之1號9樓","","15000000","0630525","1031219"
"7","04445363","生旭鋁業有限公司","臺北市大同區太原路110號","","1600000","0621003","1031223"
"8","04470685","騰達機車有限公司","臺北市大同區重慶北路1段2號","","500000","0651229","1031209"
"9","04521170","太進電機廠有限公司","臺北市萬華區和平西路3段228號","","200000","0620508","1031227"
"10","04612093","宜禾家具設計有限公司","臺北市中正區南昌路2段28之1號","","5000000","0630327","1031217"
"11","04645192","其大企業有限公司","新北市板橋區文化路2段259號2樓","","500000","0650927","1031223"
"12","04757230","三營企業有限公司","新北市中和區復興路263巷9弄10-1號","","1200000","0650629","1031210"
"13","04763681","啟祥電子股份有限公司","臺北市內湖區新明路380巷4弄19號1樓","","2000000","0621126","1031227"
"14","04872956","協江企業有限公司","新北市新店區中正路５１３號１樓","","5000000","0670117","1031216"
"15","04922421","乙大企業股份有限公司","臺北市士林區福國路95號4樓之5","","1000000","0610418","1031229"
"16","04996979","利盈冷凍企業有限公司","臺北市文山區景隆街19巷3號1樓","","8000000","0650921","1031212"
"17","05003104","冠朋企業有限公司","臺北市中山區建國北路2段121號10樓","","8000000","0680424","1031222"
"18","05064919","台鋼機械股份有限公司","雲林縣斗六市鎮南里武陵街59號6樓","","20000000","0690128","1031223"
"19","05065179","漢台貿易股份有限公司","臺北市中正區忠孝東路2段130號9樓之5","","25000000","0690222","1031227"
"20","05084400","元雍企業股份有限公司","新北市汐止區新台五路1段104號19樓","","5000000","0700115","1031227"
"21","05147539","鈺懋有限公司","臺北市松山區復興北路191號8樓之6","","5000000","0730309","1031222"
"22","05162622","懷寧錄影傳播事業有限公司","彰化縣員林鎮博愛路12號2樓","","6000000","0710331","1031216"
"23","05406471","弘峯五金有限公司","臺北市南港區忠孝東路6段176巷5號1樓","","500000","0720915","1031202"
"24","05414676","丹福文具企業有限公司","臺北市南港區向陽路84號1樓","","10000000","0730227","1031217"
"25","05631527","大蟳服裝股份有限公司","臺北市中正區三元街198號1樓","","10000000","0730611","1031229"
"26","05642138","暢新實業有限公司","臺北市士林區中山北路6段439巷4號1樓","","5000000","0740516","1031203"
"27","05969274","明彩彩色印刷有限公司","彰化縣大村鄉擺塘村擺塘巷13之6號","","1000000","0741028","1031225"
"28","06586205","僑龍鈕釦工業股份有限公司","臺南市永康區中正路217巷2號","","4000000","0740617","1031231"
