序號,統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准解散日期
1,04338130,加成鑄造原料有限公司,臺北市大同區迪化街2段242號1樓,null,5000000,0650322,1030407
2,04497164,聯良實業股份有限公司,臺北市大同區長安西路45-1號4樓,null,2000000,0691208,1030417
3,04581182,新立印刷文具有限公司,新北市中和區景平路五二三號一樓,null,3600000,0650304,1030409
4,04607134,泰農實業股份有限公司,臺北市大安區永康街17巷31號,null,5000000,0620530,1030401
5,04675218,一六電線電纜股份有限公司,新北市樹林區味王街32之5號,null,8750000,0670707,1030416
6,04735882,台灣象安有限公司,臺北市大安區光復南路346巷56號1樓,null,5000000,0640925,1030418
7,04807148,協益起重有限公司,臺北市萬華區萬大路534巷31號1樓,null,3000000,0690725,1030418
8,05059325,和光交通企業有限公司,臺北市內湖區五分街5號1樓,null,3000000,0670606,1030408
9,07617162,和鑫裝訂印刷有限公司,臺北市大同區重慶北路2段80巷6號,null,2000000,0670323,1030407
10,07618541,巨豐玻璃有限公司,臺北市松山區敦化南路1段100巷7弄35號1樓,null,5000000,0670420,1030416
11,09413087,藝菱企業有限公司,臺北市大安區金山南路2段2號10樓之2,null,5000000,0720611,1030422
12,09469027,啟暉貿易有限公司,臺北市中正區忠孝西路1段29巷1號4樓,null,5000000,0740212,1030415
13,11136308,中國木業製品股份有限公司,新北市蘆洲區信義路十五巷十七號一樓,null,10000000,0561118,1030422
14,12174244,雙喜興業股份有限公司,臺北市中山區長安東路1段51-4號1樓,null,5000000,0670415,1030409
15,12213485,鈞昇企業有限公司,臺北市大安區仁愛路3段28號7樓之2,null,5000000,0680216,1030428
16,12343656,振夏實業有限公司,臺北市士林區雨聲街8巷18號1樓,null,1000000,0700813,1030429
17,12372770,兩福工業有限公司,新北市新莊區化成路736巷14弄1號,null,5000000,0710324,1030422
18,12374340,鑫徠德企業有限公司,新竹市經國路二段三九二號二樓,null,5000000,0710330,1030414
19,12430835,申家企業有限公司,臺北市松山區復興北路191號15樓之5,null,5000000,0720404,1030418
20,12432263,信泰水工實業有限公司,新北市蘆洲區信義路三七巷一六號五樓,null,1500000,0720411,1030410
21,12629483,遠強投資有限公司,宜蘭縣羅東鎮成功里中正南路一九七號一樓,null,9000000,0891005,1030428
22,12649431,惠森興業有限公司,雲林縣土庫鎮忠正里光明路171號1樓,null,1000000,0891107,1030423
23,12659107,快聯科技股份有限公司,新竹市牛埔東路一五九號,null,10000000,0891026,1030429
24,12661027,創世紀建設股份有限公司,臺北市大安區仁愛路3段94號3樓,null,13300000,0891102,1030422
25,12702287,江翠企業有限公司,新北市板橋區忠翠里10鄰文化路2段一182巷3弄58號11樓,null,5000000,0891113,1030422
26,12713313,永吉立工商開發有限公司,新北市土城區廣明街四一巷二弄九號,null,1000000,0891201,1030422
27,12726773,威鉅登創藝股份有限公司,新北市土城區裕生里中華路1段56巷23號(1樓),null,48000000,0891226,1030403
28,12735490,奎鑫科技有限公司,臺北市信義區忠孝東路5段412號2樓之4,null,2000000,0900111,1030430
29,12737292,禎洋空調企業有限公司,臺中市西區向上路一段461巷3號1樓,null,500000,0900116,1030402
30,12757326,合毅鞋業有限公司,臺中市潭子區潭陽里光陽路一一二號七樓,null,2000000,0900302,1030422
31,12787530,廣騏實業股份有限公司,臺中市大雅區三和段神林南路115巷22號,null,25000000,0900420,1030418
32,12796910,大誠開發設計工程有限公司,臺北市大同區重慶北路3段377號6樓之1,null,2000000,0900507,1030410
33,12805973,捷研科技股份有限公司,新北市中和區中正路816號,null,6000000,0900518,1030407
34,12807661,台灣齊揚能源科技股份有限公司,彰化縣伸港鄉蚵寮村線工北一路12號,null,80000000,0900522,1030409
35,12838398,利天有限公司,新竹縣竹北市大眉里中華路1448巷46號1樓,null,500000,0900718,1030424
36,12864640,昱得國際有限公司,臺北市萬華區萬大路458號1樓,null,1000000,0900517,1030421
37,12885223,鈺正生技有限公司,臺北市文山區興隆路2段196號2樓之1,null,5000000,0900817,1030422
38,12896143,華一貿易有限公司,臺南市中西區文賢里和真街76、78號1樓,null,10000000,0900906,1030401
39,12919032,徽濱實業有限公司,臺中市豐原區豐勢路一段534號,null,1000000,0901029,1030425
40,12919912,秉竑企業有限公司,新北市鶯歌區建國路512巷7號,null,10000000,0901030,1030417
41,12923970,奧燊國際有限公司,新北市新莊區天泉二街19之1號,null,1000000,0901107,1030409
42,12963944,好珮興業有限公司,新北市板橋區三民路二段一八六巷二八號二樓,null,3000000,0901204,1030423
43,12983673,通材建材有限公司,新北市樹林區中山路一段三五八號一樓,null,5000000,0901128,1030430
44,13008321,金冠霖科技有限公司,桃園縣楊梅市中山北路2段82巷15號11樓,null,1000000,0910111,1030428
45,13010430,彰旺塑膠股份有限公司,臺中市龍井區忠和里海尾路278巷37號1樓,null,1000000,0910115,1030401
