"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期","核准解散日期"
"1","00940398","永慶開發股份有限公司","基隆市中正區中正路317號1樓","null","10000000","0741102","1030513"
"2","01074660","燿陽企業有限公司","臺北市中正區懷寧街62號5樓","null","500000","0741102","1030523"
"3","01509004","怡興興業有限公司","桃園縣桃園市中山里宏昌六街155號5樓","null","5000000","0740828","1030514"
"4","04224397","特全有限公司","新北市新店區明德路六九巷廿六號一樓","null","1500000","0630522","1030501"
"5","04561313","啟福儀器行有限公司","臺北市萬華區東園街73巷46號2樓","null","5000000","0640224","1030529"
"6","04668292","鼎發水電工程有限公司","臺北市中山區松江路70巷6號4樓","null","25000000","0670112","1030520"
"7","05422774","匯本貿易有限公司","新北市汐止區汐碇路16之1巷16號11樓","null","5000000","0731113","1030514"
"8","07686955","年盈印刷有限公司","臺北市大同區延平北路3段99巷3弄9號1樓","null","16000000","0710505","1030523"
"9","09429433","安安珠寶玉器銀樓有限公司","臺北市大安區敦化南路1段190巷52號","null","2000000","0721130","1030516"
"10","11648096","順發鑫貿易有限公司","臺北市中山區民生東路1段25號11樓之18","null","5000000","0571015","1030506"
"11","12354597","百棟建設股份有限公司","臺北市中山區松江路111號13樓","null","25000000","0701103","1030526"
"12","12415519","亨鎰企業有限公司","臺北市中山區吉林路218巷14號4樓","null","5000000","0711227","1030508"
"13","12422997","安麒企業有限公司","桃園縣新屋鄉笨港村11鄰笨子港8之3號2樓","null","5000000","0710626","1030529"
"14","12456932","凱譜企業股份有限公司","臺北市大安區金山南路2段218號3樓","null","5000000","0720831","1030522"
"15","12457783","旺樹實業股份有限公司","臺北市士林區中山北路6段405巷53號1樓","null","10000000","0720908","1030513"
"16","12626211","宏滔實業有限公司","新北市板橋區雙十路2段47巷4弄20號1樓","null","1000000","0890929","1030526"
"17","12644772","山研企業股份有限公司","null","null","0","0891031","1030515"
"18","12663496","達安有限公司","新北市中和區南山路127巷14之3號","null","1000000","0891109","1030501"
"19","12671741","欣遠國際有限公司","臺北市中正區臨沂街3巷21號1樓","null","15000000","0891208","1030520"
"20","12672087","博力科技有限公司","臺北市北投區石牌路2段89之1號","null","1000000","0891211","1030514"
"21","12688031","嘉仕?企業有限公司","臺北市中山區民權東路2段92巷8弄11號1樓","null","5000000","0900221","1030509"
"22","12718886","海豐興業有限公司","新北市五股區民義里民義路1段312-7號","null","1000000","0891212","1030523"
"23","12723229","晟峰股份有限公司","南投縣水里鄉城中村市場巷250號1樓","null","10960000","0891218","1030513"
"24","12723369","鈺峰進口家飾有限公司","新北市淡水區新春街36號4樓","null","500000","0891218","1030519"
"25","12734197","福爾摩沙石化有限公司","桃園縣楊梅市永美路六四號二樓","null","10000000","0900109","1030528"
"26","12760547","南特實業有限公司","臺中市大甲區文武里八德街九四號","null","1000000","0900308","1030507"
"27","12824057","家藍帝裝潢工程有限公司","花蓮縣花蓮市民政里中美路223號","null","5000000","0900619","1030513"
"28","12827857","興鵬國際興業有限公司","桃園縣八德市廣興里新興路342巷54弄29號","null","1000000","0900627","1030515"
"29","12831923","虹晶科技股份有限公司","null","null","0","0900704","1030501"
"30","12834674","宏笙投資股份有限公司","花蓮縣花蓮市中央路三段六五六號","null","60000000","0900711","1030501"
"31","12852102","湘廚餐廳有限公司","臺北市中山區南京東路2段206號2樓之1","null","12000000","0900409","1030501"
"32","12860047","觀察家行銷研究有限公司","臺北市信義區松德路161號22樓","null","5500000","0900502","1030514"
"33","12864450","高鉊國際有限公司","臺北市中正區忠孝西路1段7號9樓之1","null","2000000","0900517","1030507"
"34","12871950","台灣芳珂股份有限公司","臺北市中山區中山北路2段44號14樓","null","192200000","0900612","1030522"
"35","12907824","倍菖精密工具有限公司","高雄市路竹區竹南里新民路16號","null","1000000","0901004","1030530"
"36","12922521","弘典電腦有限公司","臺南市永康區二王里忠孝路450巷15號","null","500000","0901105","1030522"
"37","12939895","大登國際行銷有限公司","臺北市信義區松德路117號9樓","null","6000000","0900820","1030505"
"38","12945974","喬誼有限公司","臺北市中山區中山北路3段45號6樓之4","null","1000000","0900911","1030522"
"39","12954852","邁博娛樂事業有限公司","臺北市中正區杭州南路1段115號8樓之5","null","1500000","0901023","1030513"
